,x,y,Name
0,-58.35359,29.346304,Everything Everywhere All at Once
1,-67.970764,-6.586046,John Wick
2,-69.330696,-6.038342,John Wick: Chapter 3 - Parabellum
3,62.505863,-24.698687,A Man Called Otto
4,15.498473,-72.4664,Puss in Boots: The Last Wish
5,-55.007996,-67.573654,Shazam!
6,-51.181644,6.3092804,Avatar: The Way of Water
7,-69.01927,-6.1412454,John Wick: Chapter 2
8,-38.218964,4.102414,Scream
9,-36.97231,20.598656,Top Gun: Maverick
10,-18.13857,-24.171339,Bullet Train
11,-21.218142,30.33944,Elvis
12,-33.642406,-43.88366,M3GAN
13,-44.556683,-18.461836,The Godfather
14,-45.81806,32.670383,Nope
15,58.038246,49.027164,RRR (Rise Roar Revolt)
16,-38.181602,4.2544127,Scream
17,-4.783225,46.085575,Black Panther: Wakanda Forever
18,-21.89349,34.714886,The Hunger Games
19,-59.03313,12.753213,The Batman
20,-58.738514,3.4199846,The Shawshank Redemption
21,-41.385784,-18.164858,Interstellar
22,-65.749435,-42.61384,Pulp Fiction
23,-66.87421,-1.2037939,Once Upon a Time in... Hollywood
24,-10.515503,3.6761823,Where the Crawdads Sing
25,-98.89492,1.6116997,Harry Potter and the Sorcerer's Stone
26,-66.69626,25.372038,The Help
27,-73.36933,-32.50085,Creed
28,-46.70781,-18.173082,GoodFellas
29,-38.197914,4.270723,Scream 4
30,-14.922224,-89.85356,Black Adam
31,-31.916895,56.625183,Top Gun
32,-3.132214,53.87554,The Goonies
33,-64.977844,-4.2652254,Titanic
34,-69.09241,-20.449251,The Magnificent Seven
35,-55.14951,-21.514315,Good Will Hunting
36,-63.95902,47.343143,Riddick
37,-59.01275,12.668071,The Dark Knight
38,-63.898224,47.062828,Pitch Black
39,-27.840227,-7.0969462,The Gentlemen
40,-53.970543,37.709156,The Mummy
41,-66.17669,-2.1534102,The Wolf of Wall Street
42,15.584257,-20.173456,Dune: Part One
43,2.3662896,-68.783325,Midsommar
44,-73.43496,-32.534576,Creed II
45,-62.835236,-0.5596649,Fight Club
46,20.454174,82.95507,Gisaengchung
47,-21.857855,34.647564,The Hunger Games: Catching Fire
48,-7.6447244,44.96258,Murder on the Orient Express
49,-65.46103,47.227352,The Chronicles of Riddick
50,-52.11071,-44.6732,Inception
51,-14.13031,-11.588018,Encino Man
52,-80.50706,-20.135872,The Lord of the Rings: The Fellowship of the Ring
53,3.4861372,-72.08782,Knives Out
54,-38.238815,4.257206,Scream 2
55,2.4160652,50.287884,Mean Girls
56,-87.40028,11.070364,Spider-Man: No Way Home
57,-73.69034,-30.897266,Rocky
58,-65.94674,31.175327,Tombstone
59,-65.41629,-2.51947,The Departed
60,-54.657455,50.69459,Blade Runner 2049
61,-19.958906,43.54957,Inglourious Basterds
62,-61.923435,-28.140345,Avengers: Endgame
63,34.62722,-5.1440473,The Black Phone
64,17.056091,-37.449833,This Is Where I Leave You
65,-38.19409,4.2640185,Scream 3
66,13.631408,-83.70531,The Woman King
67,-11.045208,-42.850487,Road House
68,-87.00399,17.066212,The Matrix
69,-62.110527,-5.5621,Thor: Love and Thunder
70,-18.92164,8.6814375,American Psycho
71,-52.737164,45.65688,Indiana Jones and the Temple of Doom
72,8.203982,-23.481548,Dazed and Confused
73,-53.395943,-14.942974,Forrest Gump
74,-51.173832,6.2854395,Avatar
75,-55.797745,-25.77565,Gladiator
76,-51.10297,19.827814,Schindler's List
77,-55.34,17.763058,Nobody
78,-61.654816,54.43961,Jurassic Park
79,-44.75394,-18.582802,The Godfather Part II
80,-30.266504,-9.898031,Black Swan
81,3.593596,-39.132034,Whiplash
82,-67.57713,2.5345232,The Suicide Squad
83,-60.581413,56.150204,Jurassic World: Dominion
84,-55.50748,-26.15939,Joker
85,-70.34615,3.0238972,Django Unchained
86,-34.215134,-5.3321943,Requiem for a Dream
87,-59.71158,-28.823679,The Prestige
88,-35.509644,5.872242,The Silence of the Lambs
89,-11.658507,14.948538,One Flew Over the Cuckoo's Nest
90,-37.26395,33.160927,Vertigo
91,27.396404,-34.855606,Prisoners
92,-44.88343,-18.740232,Heat
93,-45.650837,-18.53344,Taxi Driver
94,-34.60688,7.72124,Se7en
95,-24.858137,53.418045,12 Angry Men
96,-3.482927,-34.55514,Fifty Shades of Grey
97,-17.737053,24.567244,History of the World: Part I
98,10.148694,-23.322487,Easy A
99,-89.52805,-27.166958,Kick-Ass 2
100,-68.75775,-14.877056,Star Wars: Episode I - The Phantom Menace
101,-52.734966,45.75035,Raiders of the Lost Ark
102,-83.46568,-21.903475,Mad Max: Fury Road
103,-56.278786,-37.35055,The Breakfast Club
104,6.294887,-13.046913,Get Out
105,-80.47194,-20.262436,The Lord of the Rings: The Return of the King
106,-37.187634,-29.33033,American Pie
107,-4.713267,-64.23287,The Hangover
108,-31.88366,-68.701454,Spring Breakers
109,-21.84362,34.645473,The Hunger Games: Mockingjay - Part 2
110,-33.505825,-29.231415,Hereditary
111,8.07876,-45.103436,Pride & Prejudice
112,37.22728,-76.83084,No Time to Die
