,x,y,z,Name
0,42.260384,-11.619823,-3.8116593,Everything Everywhere All at Once
1,-4.889764,-51.12674,-6.964245,John Wick
2,-4.9509487,-55.493065,-9.98948,John Wick: Chapter 3 - Parabellum
3,-39.27391,9.257622,19.394226,A Man Called Otto
4,-11.66265,-35.720146,18.48443,Puss in Boots: The Last Wish
5,-3.228273,-46.568493,-37.84612,Shazam!
6,35.15251,-42.522633,-19.669544,Avatar: The Way of Water
7,-4.5827203,-54.895077,-8.900477,John Wick: Chapter 2
8,9.060339,-59.58611,22.33062,Scream
9,39.59222,-10.368101,-33.927288,Top Gun: Maverick
10,22.456388,15.011593,-18.176317,Bullet Train
11,-12.807341,6.5168257,53.32547,Elvis
12,13.01811,-10.697573,-0.7133263,M3GAN
13,16.055656,-22.2857,5.356436,The Godfather
14,38.80224,-23.168148,-28.327478,Nope
15,-38.903442,-2.1729267,-24.088577,RRR (Rise Roar Revolt)
16,7.754925,-59.397743,21.0677,Scream
17,7.7166696,-1.0274143,-41.83757,Black Panther: Wakanda Forever
18,46.83402,-10.0299425,-25.480455,The Hunger Games
19,4.5612307,-47.43809,37.518044,The Batman
20,11.153923,-56.182423,8.07067,The Shawshank Redemption
21,56.56177,10.108082,26.312387,Interstellar
22,50.70594,-1.833427,28.929934,Pulp Fiction
23,21.49783,-51.594006,-4.080987,Once Upon a Time in... Hollywood
24,27.737495,-51.468807,17.384834,Where the Crawdads Sing
25,42.684162,6.2115774,34.12381,Harry Potter and the Sorcerer's Stone
26,1.725207,-26.436136,-27.547918,The Help
27,19.375284,-34.706036,-32.73162,Creed
28,17.463663,-25.44229,0.6818183,GoodFellas
29,8.443724,-58.992165,19.973696,Scream 4
30,65.585075,-3.7127461,19.754229,Black Adam
31,43.873325,13.131455,-25.141043,Top Gun
32,30.447733,18.261507,-31.99003,The Goonies
33,28.736374,-52.82715,-4.4275813,Titanic
34,13.070481,-39.89597,-15.764842,The Magnificent Seven
35,33.222263,-20.39422,41.94421,Good Will Hunting
36,61.741867,-20.195435,3.0572214,Riddick
37,3.889257,-48.41544,35.347824,The Dark Knight
38,60.84126,-19.512327,2.8014667,Pitch Black
39,-3.7955546,-27.136955,-11.511301,The Gentlemen
40,57.54193,-4.9881177,-15.142087,The Mummy
41,22.801008,-50.743076,-5.460799,The Wolf of Wall Street
42,36.35478,0.16158111,26.261318,Dune: Part One
43,51.949303,28.13404,18.805489,Midsommar
44,19.991703,-34.602345,-32.53343,Creed II
45,58.476814,16.140375,-35.978817,Fight Club
46,-2.32534,17.453403,-42.103523,Gisaengchung
47,46.246155,-10.268367,-26.149826,The Hunger Games: Catching Fire
48,67.57611,8.994585,9.201725,Murder on the Orient Express
49,58.468468,-20.734972,0.9481893,The Chronicles of Riddick
50,44.45164,-33.98017,0.81035954,Inception
51,8.464191,-10.007846,15.442716,Encino Man
52,23.594273,-52.656277,10.637854,The Lord of the Rings: The Fellowship of the Ring
53,-27.518927,-34.113358,-15.038492,Knives Out
54,8.936394,-58.491764,20.951725,Scream 2
55,36.47054,32.306786,-26.483965,Mean Girls
56,12.456481,-21.296911,39.370167,Spider-Man: No Way Home
57,18.679878,-34.3844,-29.487423,Rocky
58,32.737083,-25.607262,7.4942765,Tombstone
59,25.086845,-49.905457,-6.0375814,The Departed
60,-31.880518,-31.88338,4.4571986,Blade Runner 2049
61,-15.482481,16.84303,25.015022,Inglourious Basterds
62,0.3212007,-30.572006,-5.7388897,Avengers: Endgame
63,-3.0433543,23.065834,-3.7807832,The Black Phone
64,16.737452,-49.2719,-0.9621271,This Is Where I Leave You
65,7.986613,-57.999508,20.738392,Scream 3
66,-15.529912,9.87214,33.07465,The Woman King
67,-0.2724608,-7.4815936,-4.7064605,Road House
68,-21.51885,-57.444794,12.098077,The Matrix
69,41.79461,-39.899445,-2.3179028,Thor: Love and Thunder
70,42.259205,-33.779858,20.000753,American Psycho
71,48.463184,-47.972393,7.310723,Indiana Jones and the Temple of Doom
72,17.073006,18.2784,1.7997164,Dazed and Confused
73,10.310985,-23.358833,-2.144348,Forrest Gump
74,34.862034,-42.565304,-19.543415,Avatar
75,13.039999,-37.191124,6.0440907,Gladiator
76,-10.418498,16.199795,29.775084,Schindler's List
77,2.1388988,-1.6477606,52.027435,Nobody
78,46.780903,-16.486963,-47.5911,Jurassic Park
79,16.100445,-23.31541,4.933047,The Godfather Part II
80,26.363813,-22.330626,-2.8955724,Black Swan
81,37.82895,16.660053,-11.296956,Whiplash
82,49.384243,-2.233589,4.660604,The Suicide Squad
83,-1.0408086,-39.80474,-44.702168,Jurassic World: Dominion
84,16.81245,-37.94321,7.8688235,Joker
85,44.11639,-41.30266,13.511804,Django Unchained
86,51.215763,-2.593013,1.4544214,Requiem for a Dream
87,32.988846,-37.993137,-9.570667,The Prestige
88,33.468685,0.38631532,0.42389813,The Silence of the Lambs
89,16.989237,-7.581796,-36.15335,One Flew Over the Cuckoo's Nest
90,22.824686,-29.381073,-43.85528,Vertigo
91,-24.619291,9.557523,28.792395,Prisoners
92,14.819044,-25.10144,4.318253,Heat
93,18.346228,-24.43628,4.2149515,Taxi Driver
94,31.207262,-0.98107916,-4.2498436,Se7en
95,11.022409,-26.395039,-7.563211,12 Angry Men
96,13.120625,20.511774,27.227615,Fifty Shades of Grey
97,52.88262,-23.975033,-6.8778157,History of the World: Part I
98,13.224966,17.44531,2.353719,Easy A
99,-4.8694515,-21.127846,-53.760197,Kick-Ass 2
100,30.964062,-39.810696,-3.271366,Star Wars: Episode I - The Phantom Menace
101,47.1978,-48.053356,8.320234,Raiders of the Lost Ark
102,20.559986,-30.730795,35.034275,Mad Max: Fury Road
103,-8.470017,-62.06688,-16.129759,The Breakfast Club
104,11.904272,-9.449698,-3.2948442,Get Out
105,23.52514,-51.507668,10.309571,The Lord of the Rings: The Return of the King
106,27.460083,21.597515,11.070175,American Pie
107,33.227314,10.083826,8.760992,The Hangover
108,-9.64683,-27.319925,46.78002,Spring Breakers
109,45.542763,-9.621218,-26.693327,The Hunger Games: Mockingjay - Part 2
110,13.182691,-2.1045702,12.149755,Hereditary
111,19.288187,42.631435,31.912498,Pride & Prejudice
112,15.611926,46.534534,40.097176,No Time to Die
113,18.66922,-23.609106,15.305322,American Beauty
114,9.068302,-45.106815,27.142641,Eternal Sunshine of the Spotless Mind
115,21.802004,13.0802555,1.9308674,Wild Things
116,61.600574,-9.527675,-36.625225,Star Wars
117,69.52301,-12.870474,0.53211325,Sicario
118,19.535938,-25.482218,33.6662,Pirates of the Caribbean: The Curse of the Black Pearl
119,-23.719578,-28.016855,51.670025,Kingsman: The Golden Circle
